Gene,IFNa,IFNg,celltype_level,subset
EAF2,0.519306021,0.904217707,L1,Bcell
TMEM268,0.518311761,0.205035836,L1,Bcell
YPEL3,-0.515710214,-0.369275154,L1,Bcell
RASGRP3,0.510908863,0.403960933,L1,Bcell
CCDC85B,0.507249948,-0.01527248,L1,Bcell
TCP11L2,-0.505342151,-0.603821787,L1,Bcell
ELK4,0.503902935,0.273046322,L1,Bcell
CD48,0.500563185,0.235739421,L1,Bcell
INPP5A,-0.499882759,-0.500283431,L1,Bcell
FXYD5,-0.499399812,-0.545069001,L1,Bcell
SECISBP2L,0.497070222,0.134520402,L1,Bcell
PRDM4,-0.494882037,-0.690342239,L1,Bcell
SP140,0.491631831,0.204966577,L1,Bcell
EVL,0.490301653,0.273323751,L1,Bcell
DCK,0.48776778,0.480606581,L1,Bcell
PNRC1,-0.487753626,-0.133444767,L1,Bcell
PIK3AP1,0.487679645,0.157883382,L1,Bcell
NAGK,0.4845302,0.064567631,L1,Bcell
RERE,0.483993516,0.623321734,L1,Bcell
EHD3,-0.48370444,-0.289560815,L1,Bcell
ANKFY1,0.482022407,0.121577919,L1,Bcell
PIM1,-0.48138277,0.285696307,L1,Bcell
TRIM34,0.479623931,0.005231887,L1,Bcell
FAM111B,-0.479395303,-0.245009321,L1,Bcell
PSMB8,0.479223021,0.722578812,L1,Bcell
ITGA4,0.478903992,0.36754521,L1,Bcell
MOB3A,-0.477846388,-0.430153192,L1,Bcell
RGS2,-0.47649935,-0.685908564,L1,Bcell
CHSY1,0.476425636,0.356181418,L1,Bcell
PSMB10,0.471865129,1.127324305,L1,Bcell
RNF31,0.471813577,0.334236083,L1,Bcell
ZC3HAV1,0.470085126,0.430080118,L1,Bcell
TCIRG1,0.463386222,0.428952411,L1,Bcell
CCND3,0.462760542,-0.145467432,L1,Bcell
UBALD2,0.461560917,0.124422258,L1,Bcell
RIN3,-0.457906504,-0.53107144,L1,Bcell
SOCS1,0.455814131,1.933904002,L1,Bcell
WHRN,-0.454513358,-0.705197012,L1,Bcell
TTC3,-0.453602743,-0.385533249,L1,Bcell
CD2AP,0.450259661,0.416326715,L1,Bcell
EMILIN2,-0.449110974,-0.593522917,L1,Bcell
SLC49A4,-0.448945466,-0.584499388,L1,Bcell
RASA3,-0.448891306,-0.69678015,L1,Bcell
VAT1,-0.448095266,-0.395786153,L1,Bcell
CD82,-0.447379766,-0.622096657,L1,Bcell
TNS3,-0.445383345,-0.33584785,L1,Bcell
GLIPR1,-0.445154206,-0.500847542,L1,Bcell
LYST,-0.44172476,-0.600227554,L1,Bcell
IDH3A,0.437877677,0.135373935,L1,Bcell
CFLAR,0.437819109,0.371376524,L1,Bcell
CHST11,-0.437002259,-0.608056077,L1,Bcell
TAGAP,0.431727036,-0.086028904,L1,Bcell
CXCR4,-0.430395392,-0.579945305,L1,Bcell
KLHL2,-0.428067165,-0.418229659,L1,Bcell
RUNX3,0.427291371,0.414536676,L1,Bcell
GSDMD,0.427258155,0.450827547,L1,Bcell
NOP53,-0.427116022,-0.051190766,L1,Bcell
AHNAK,-0.426748718,-0.690457126,L1,Bcell
AZI2,0.426686872,0.022838013,L1,Bcell
JUP,0.426574631,-0.531467011,L1,Bcell
LNPEP,0.426146606,0.136811399,L1,Bcell
SELL,0.42589976,0.188988868,L1,Bcell
TENT4A,0.424810266,0.373307197,L1,Bcell
MCOLN2,0.42441038,0.297604281,L1,Bcell
RAB8A,0.422190837,0.092027675,L1,Bcell
SIDT1,0.419170701,-0.007887298,L1,Bcell
HERPUD1,-0.418505794,-0.606011588,L1,Bcell
EZR,-0.418168109,-0.524800438,L1,Bcell
CASP4,0.417977271,0.932198203,L1,Bcell
TMSB10,0.417097056,0.787559007,L1,Bcell
EIF4B,-0.416776736,-0.093813489,L1,Bcell
EIF3L,-0.416423878,-0.107834877,L1,Bcell
SH3TC1,-0.414849229,-0.492230354,L1,Bcell
PARP11,0.413529963,0.66274711,L1,Bcell
KDM2B,-0.410568379,-0.793135596,L1,Bcell
GAB2,-0.40882001,-0.356668427,L1,Bcell
UBXN11,-0.406741051,-0.435138952,L1,Bcell
PARP8,0.404096934,0.37868036,L1,Bcell
CHPT1,-0.402704858,-0.479096919,L1,Bcell
TRIB1,0.400811426,-0.366478547,L1,Bcell
GPX4,-0.400170623,-0.245252087,L1,Bcell
VRK2,0.39950039,0.59129131,L1,Bcell
FURIN,-0.396984422,-0.419641781,L1,Bcell
CEMIP2,-0.395450179,-0.545323288,L1,Bcell
COX4I1,-0.39431851,-0.253706351,L1,Bcell
